Age,Reduced,UnreducedRule90,UnreducedNoRule90,,
20,0.00%,0.00%,0.00%,,
21,0.00%,0.00%,0.00%,,
22,0.00%,0.00%,0.00%,,
23,0.00%,0.00%,0.00%,,
24,0.00%,0.00%,0.00%,,
25,0.00%,0.00%,0.00%,,
26,0.00%,0.00%,0.00%,,
27,0.00%,0.00%,0.00%,,
28,0.00%,0.00%,0.00%,,
29,0.00%,0.00%,0.00%,,
30,0.00%,0.00%,0.00%,,
31,0.00%,0.00%,0.00%,,
32,0.00%,0.00%,0.00%,,
33,0.00%,0.00%,0.00%,,
34,0.00%,0.00%,0.00%,,
35,0.00%,0.00%,0.00%,,
36,0.00%,0.00%,0.00%,,
37,0.00%,0.00%,0.00%,,
38,0.00%,0.00%,0.00%,,
39,0.00%,0.00%,0.00%,,
40,0.00%,0.00%,0.00%,,
41,0.00%,0.00%,0.00%,,
42,0.00%,0.00%,0.00%,,
43,0.00%,0.00%,0.00%,,
44,0.00%,0.00%,0.00%,,
45,0.00%,0.00%,0.00%,,
46,0.00%,0.00%,0.00%,,
47,0.00%,0.00%,0.00%,,
48,0.00%,0.00%,0.00%,,
49,0.00%,0.00%,0.00%,,
50,0.00%,50.00%,0.00%,,
51,0.00%,20.00%,0.00%,,
52,0.00%,20.00%,0.00%,,
53,0.00%,20.00%,0.00%,,
54,0.00%,20.00%,0.00%,,
55,1.00%,8.00%,0.00%,,
56,1.00%,8.00%,0.00%,,
57,1.00%,8.00%,0.00%,,
58,1.00%,9.00%,0.00%,,
59,2.00%,9.00%,0.00%,,
60,2.00%,9.00%,0.00%,,
61,4.00%,15.00%,0.00%,,
62,8.00%,20.00%,0.00%,,
63,8.00%,20.00%,0.00%,,
64,8.00%,35.00%,0.00%,,
65,0.00%,35.00%,20.00%,,
66,0.00%,35.00%,20.00%,,
67,0.00%,20.00%,15.00%,,
68,0.00%,20.00%,15.00%,,
69,0.00%,20.00%,15.00%,,
70,0.00%,20.00%,15.00%,,
71,0.00%,20.00%,15.00%,,
72,0.00%,20.00%,15.00%,,
73,0.00%,20.00%,15.00%,,
74,0.00%,20.00%,15.00%,,
75,0.00%,50.00%,50.00%,,
76,0.00%,50.00%,50.00%,,
77,0.00%,50.00%,50.00%,,
78,0.00%,50.00%,50.00%,,
79,0.00%,50.00%,50.00%,,
80,0.00%,100.00%,100.00%,,
81,0.00%,100.00%,100.00%,,
82,0.00%,100.00%,100.00%,,
83,0.00%,100.00%,100.00%,,
84,0.00%,100.00%,100.00%,,
85,0.00%,100.00%,100.00%,,
86,0.00%,100.00%,100.00%,,
87,0.00%,100.00%,100.00%,,
88,0.00%,100.00%,100.00%,,
89,0.00%,100.00%,100.00%,,
90,0.00%,100.00%,100.00%,,
91,0.00%,100.00%,100.00%,,
92,0.00%,100.00%,100.00%,,
93,0.00%,100.00%,100.00%,,
94,0.00%,100.00%,100.00%,,
95,0.00%,100.00%,100.00%,,
96,0.00%,100.00%,100.00%,,
97,0.00%,100.00%,100.00%,,
98,0.00%,100.00%,100.00%,,
99,0.00%,100.00%,100.00%,,
100,0.00%,100.00%,100.00%,,
101,0.00%,100.00%,100.00%,,
102,0.00%,100.00%,100.00%,,
103,0.00%,100.00%,100.00%,,
104,0.00%,100.00%,100.00%,,
105,0.00%,100.00%,100.00%,,
106,0.00%,100.00%,100.00%,,
107,0.00%,100.00%,100.00%,,
108,0.00%,100.00%,100.00%,,
109,0.00%,100.00%,100.00%,,
110,0.00%,100.00%,100.00%,,
111,0.00%,100.00%,100.00%,,
112,0.00%,100.00%,100.00%,,
113,0.00%,100.00%,100.00%,,
114,0.00%,100.00%,100.00%,,
115,0.00%,100.00%,100.00%,,
116,0.00%,100.00%,100.00%,,
117,0.00%,100.00%,100.00%,,
118,0.00%,100.00%,100.00%,,
119,0.00%,100.00%,100.00%,,
120,0.00%,100.00%,100.00%,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
