Age,YOS,TermBefore5Under30,TermBefore5B3039,TermBefore5Over39
20,0,28.0%,,
20,1,24.0%,,
20,2,18.0%,,
20,3,16.0%,,
20,4,13.0%,,
21,0,28.0%,,
21,1,24.0%,,
21,2,18.0%,,
21,3,16.0%,,
21,4,13.0%,,
22,0,28.0%,,
22,1,24.0%,,
22,2,18.0%,,
22,3,16.0%,,
22,4,13.0%,,
23,0,28.0%,,
23,1,24.0%,,
23,2,18.0%,,
23,3,16.0%,,
23,4,13.0%,,
24,0,28.0%,,
24,1,24.0%,,
24,2,18.0%,,
24,3,16.0%,,
24,4,13.0%,,
25,0,28.0%,,
25,1,24.0%,,
25,2,18.0%,,
25,3,16.0%,,
25,4,13.0%,,
26,0,28.0%,,
26,1,24.0%,,
26,2,18.0%,,
26,3,16.0%,,
26,4,13.0%,,
27,0,28.0%,,
27,1,24.0%,,
27,2,18.0%,,
27,3,16.0%,,
27,4,13.0%,,
28,0,28.0%,,
28,1,24.0%,,
28,2,18.0%,,
28,3,16.0%,,
28,4,13.0%,,
29,0,28.0%,,
29,1,24.0%,,
29,2,18.0%,,
29,3,16.0%,,
29,4,13.0%,,
30,0,,20.0%,
30,1,,17.0%,
30,2,,14.0%,
30,3,,13.0%,
30,4,,11.0%,
31,0,,20.0%,
31,1,,17.0%,
31,2,,14.0%,
31,3,,13.0%,
31,4,,11.0%,
32,0,,20.0%,
32,1,,17.0%,
32,2,,14.0%,
32,3,,13.0%,
32,4,,11.0%,
33,0,,20.0%,
33,1,,17.0%,
33,2,,14.0%,
33,3,,13.0%,
33,4,,11.0%,
34,0,,20.0%,
34,1,,17.0%,
34,2,,14.0%,
34,3,,13.0%,
34,4,,11.0%,
35,0,,20.0%,
35,1,,17.0%,
35,2,,14.0%,
35,3,,13.0%,
35,4,,11.0%,
36,0,,20.0%,
36,1,,17.0%,
36,2,,14.0%,
36,3,,13.0%,
36,4,,11.0%,
37,0,,20.0%,
37,1,,17.0%,
37,2,,14.0%,
37,3,,13.0%,
37,4,,11.0%,
38,0,,20.0%,
38,1,,17.0%,
38,2,,14.0%,
38,3,,13.0%,
38,4,,11.0%,
39,0,,20.0%,
39,1,,17.0%,
39,2,,14.0%,
39,3,,13.0%,
39,4,,11.0%,
40,0,,,17%
40,1,,,14%
40,2,,,12%
40,3,,,12%
40,4,,,11%
41,0,,,17%
41,1,,,14%
41,2,,,12%
41,3,,,12%
41,4,,,11%
42,0,,,17%
42,1,,,14%
42,2,,,12%
42,3,,,12%
42,4,,,11%
43,0,,,17%
43,1,,,14%
43,2,,,12%
43,3,,,12%
43,4,,,11%
44,0,,,17%
44,1,,,14%
44,2,,,12%
44,3,,,12%
44,4,,,11%
45,0,,,17%
45,1,,,14%
45,2,,,12%
45,3,,,12%
45,4,,,11%
46,0,,,17%
46,1,,,14%
46,2,,,12%
46,3,,,12%
46,4,,,11%
47,0,,,17%
47,1,,,14%
47,2,,,12%
47,3,,,12%
47,4,,,11%
48,0,,,17%
48,1,,,14%
48,2,,,12%
48,3,,,12%
48,4,,,11%
49,0,,,17%
49,1,,,14%
49,2,,,12%
49,3,,,12%
49,4,,,11%
50,0,,,17%
50,1,,,14%
50,2,,,12%
50,3,,,12%
50,4,,,11%
51,0,,,17%
51,1,,,14%
51,2,,,12%
51,3,,,12%
51,4,,,11%
52,0,,,17%
52,1,,,14%
52,2,,,12%
52,3,,,12%
52,4,,,11%
53,0,,,17%
53,1,,,14%
53,2,,,12%
53,3,,,12%
53,4,,,11%
54,0,,,17%
54,1,,,14%
54,2,,,12%
54,3,,,12%
54,4,,,11%
55,0,,,17%
55,1,,,14%
55,2,,,12%
55,3,,,12%
55,4,,,11%
56,0,,,17%
56,1,,,14%
56,2,,,12%
56,3,,,12%
56,4,,,11%
57,0,,,17%
57,1,,,14%
57,2,,,12%
57,3,,,12%
57,4,,,11%
58,0,,,17%
58,1,,,14%
58,2,,,12%
58,3,,,12%
58,4,,,11%
59,0,,,17%
59,1,,,14%
59,2,,,12%
59,3,,,12%
59,4,,,11%
60,0,,,17%
60,1,,,14%
60,2,,,12%
60,3,,,12%
60,4,,,11%
61,0,,,17%
61,1,,,14%
61,2,,,12%
61,3,,,12%
61,4,,,11%
62,0,,,17%
62,1,,,14%
62,2,,,12%
62,3,,,12%
62,4,,,11%
63,0,,,17%
63,1,,,14%
63,2,,,12%
63,3,,,12%
63,4,,,11%
64,0,,,17%
64,1,,,14%
64,2,,,12%
64,3,,,12%
64,4,,,11%
65,0,,,17%
65,1,,,14%
65,2,,,12%
65,3,,,12%
65,4,,,11%
66,0,,,17%
66,1,,,14%
66,2,,,12%
66,3,,,12%
66,4,,,11%
67,0,,,17%
67,1,,,14%
67,2,,,12%
67,3,,,12%
67,4,,,11%
68,0,,,17%
68,1,,,14%
68,2,,,12%
68,3,,,12%
68,4,,,11%
69,0,,,17%
