Age,TermAfter5
20,0.11
21,0.11
22,0.11
23,0.11
24,0.11
25,0.1
26,0.1
27,0.1
28,0.1
29,0.1
30,0.065
31,0.065
32,0.065
33,0.065
34,0.065
35,0.055
36,0.055
37,0.055
38,0.055
39,0.055
40,0.045
41,0.045
42,0.045
43,0.045
44,0.045
45,0.042
46,0.042
47,0.042
48,0.042
49,0.042
50,0.039
51,0.039
52,0.039
53,0.039
54,0.039
55,0.036
56,0.036
57,0.036
58,0.036
59,0.036
60,0.033
61,0.033
62,0.033
63,0.033
64,0.033
65,0.033
66,0.033
67,0.033
68,0.033
69,0.033
70,0.033
71,0.033
72,0.033
73,0.033
74,0.033
75,0.033
76,0.033
77,0.033
78,0.033
79,0.033
80,0.033
81,0.033
82,0.033
83,0.033
84,0.033
85,0.033
86,0.033
87,0.033
88,0.033
89,0.033
90,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
NA,0.033
